241615	34	19	0	22	2174	59	3306	34	
227523	398	33	0	21	2233	62	3681	398	
224687	676	31	0	14	2309	62	3862	676	
217692	348	23	0	20	1781	55	4020	348	
207683	593	23	0	16	2099	58	4018	593	
253054	0	22	0	20	2237	62	3227	0	
196887	866	26	0	15	2630	46	3682	866	
220393	288	26	0	16	2035	44	3715	288	
211660	952	32	0	15	2846	64	3634	952	
232185	24	20	0	18	1363	40	4146	24	
215546	891	30	0	16	2591	52	3830	891	
212892	1454	34	0	14	3320	80	3661	1454	
229806	242	29	0	16	2163	71	3582	242	
205601	851	26	0	19	2361	57	4015	851	
216207	446	27	0	16	2069	73	3847	446	
204630	1582	32	0	10	3822	87	3282	1582	
270558	0	19	0	26	1446	37	4041	0	
219595	1293	26	0	16	2954	48	3871	1293	
198115	740	27	0	11	2482	84	3758	740	
215182	243	23	0	13	2372	56	3386	243	
